28988
0	1 0 13 0 2 1 6 1 4 1 6 1 6 1 6 1 20 1 6 1 
1	0 0 13 1 5 0 13 1 7 0 13 1 12 0 13 1 
2	3 0 13 0 0 1 6 0 
3	2 0 13 1 4 0 13 1 6 0 13 1 8 0 13 1 9 0 13 1 10 0 13 1 11 0 13 1 13 0 13 1 14 0 13 1 15 0 13 1 16 0 13 1 17 0 13 1 18 0 13 1 19 0 13 1 20 0 13 1 21 0 13 1 22 0 13 1 14130 0 13 1 14131 0 13 1 
4	3 0 13 0 0 1 6 0 
5	1 0 13 0 9 1 6 1 10 1 6 1 11 1 6 1 17 1 6 1 14131 1 6 1 
6	3 0 13 0 0 1 6 0 
7	1 0 13 0 8 1 6 1 13 1 6 1 16 1 6 1 18 1 6 1 21 1 6 1 22 1 6 1 
8	3 0 13 0 7 1 6 0 
9	3 0 13 0 5 1 6 0 
10	3 0 13 0 5 1 6 0 
11	3 0 13 0 5 1 6 0 
12	1 0 13 0 14 1 6 1 15 1 6 1 19 1 6 1 14130 1 6 1 
13	3 0 13 0 7 1 6 0 
14	3 0 13 0 12 1 6 0 
15	3 0 13 0 12 1 6 0 
16	3 0 13 0 7 1 6 0 
17	3 0 13 0 5 1 6 0 
18	3 0 13 0 7 1 6 0 
19	3 0 13 0 12 1 6 0 
20	3 0 13 0 0 1 6 0 
21	3 0 13 0 7 1 6 0 
22	3 0 13 0 7 1 6 0 
23	24 0 13 0 25 2 13 0 26 3 13 0 27 4 12 0 28 5 13 0 
