time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2018-06-20T13:20:54Z,161,0,0,0,0,0,3163981,1248,17936,156,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,1,5,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529500854547,3145728,0,0,0,0,2,81,2,2,2,0,0,3,3,0,0,0,0,0,0,38,1,0,0,2048,1,954,2,0,0,0,0,0,0,0,0,16777216,-1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-20T13:21:24Z,483,0,0,0,0,0,29370243,1992,26224032,0,0,0,0,0,0,209,0,0,0,0,0,0,0,5,4,0,1,1,6,8,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,8590066946,2,8590065575,1,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529500854547,3145728,0,0,0,0,1,541,1,6,1,0,0,3,3,0,0,0,0,0,0,76,2,0,0,8192,4,25275477,26,0,0,0,0,3,1087,29,555,403349456,-1,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-20T13:21:41Z,483,0,0,0,0,0,3163215,1992,16816,188,0,0,0,0,0,21,3,0,0,0,0,0,5,3,3,0,2,1,5,17,7,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,8596224320,3,8596221510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1529500900821,3145728,0,0,0,15,0,0,0,4,0,0,0,3,0,0,0,15,1,26624,10,0,0,0,0,6352896,65,0,0,0,0,0,0,0,0,1,4,9940664,-1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-20T13:21:43Z,483,0,0,0,0,0,3431083,1992,284872,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5,4,0,5,1,8,2,2,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,8596224320,3,8596221510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529500900821,3145728,0,0,0,5,0,0,0,2,0,0,0,3,0,0,0,5,3,12288,6,0,0,0,2,263910,3,0,0,0,0,0,0,1,118,11,154,175739648,-1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-20T14:21:05Z,644,0,0,0,0,0,3161773,1897,15105,296,0,0,0,0,0,21,3,0,0,0,0,0,5,3,3,0,3,1,5,17,7,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,21477459284,6,21477458437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1529504465122,3145728,0,0,0,16,0,0,0,6,0,0,0,3,0,0,0,16,2,20480,10,0,0,0,0,2822144,38,0,0,0,0,0,0,0,0,0,0,22996064,-1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-20T14:22:24Z,644,0,0,0,0,0,3164112,2612,17444,296,0,0,0,0,0,21,3,0,0,0,0,0,5,3,3,0,3,1,5,18,8,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,21477459284,6,21477458437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1529504543930,3145728,0,0,0,16,0,0,0,6,0,0,0,3,0,0,0,16,2,24576,12,0,0,0,0,2822144,38,0,0,0,0,0,0,0,0,0,0,23629296,-1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-20T14:22:45Z,3172,0,0,0,0,0,29372072,2612,26223172,0,0,0,0,0,0,237,2,0,0,0,0,0,0,5,4,0,6,0,7,51,12,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,30067524691,7,30067520965,1,0,4,7,0,0,0,0,0,0,2,2,258,0,3,0,0,0,0,21,2,5,0,0,0,5,221,0,0,0,0,0,0,0,2,1529504543930,3145728,0,0,0,16,1,253,1,9,1,0,0,3,3,0,0,16,3,59392,20,4192218,6,0,0,26202112,207,21087203,21,0,0,0,0,0,0,11,171,1355527536,-1,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-20T14:23:05Z,483,0,0,0,0,0,3163683,2116,17364,108,0,0,0,0,0,45,3,0,0,0,0,0,15,3,3,0,3,1,5,29,7,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,30073684576,9,30073683790,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1529504585308,3145728,0,0,0,15,1,4,1,6,1,0,0,3,2,0,0,15,1,20480,10,953,1,0,0,8984576,86,0,0,0,0,0,0,0,0,0,0,28823056,-1,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-20T14:23:32Z,483,0,0,0,0,0,3161052,1525,14733,108,0,0,0,0,0,17,3,0,0,0,0,0,4,3,3,0,3,1,5,14,6,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,30073684576,9,30073683790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1529504612430,3145728,0,0,0,14,0,0,0,4,0,0,0,3,0,0,0,14,1,18432,9,0,0,0,0,9111552,85,0,0,0,0,0,0,0,0,0,0,23588464,-1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-20T14:23:33Z,483,0,0,0,0,0,3431215,2116,285004,0,0,0,0,0,0,3,2,0,0,0,0,0,0,5,4,0,6,1,8,3,3,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,30073684576,9,30073683790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529504612430,3145728,0,0,0,7,0,0,0,2,0,0,0,3,0,0,0,7,3,14336,7,0,0,0,2,265958,4,0,0,0,0,0,0,0,0,8,71,86894872,-1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
