Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.20,-.35,-.06,-.42,-.15,-.06,-1.06,-.62,-.20,-.24,-.06,-.02,-.08,.35
1881,-.11,-.20,-.03,-.30,-.01,-.06,-.66,-.46,-.13,-.04,.02,-.06,-.02,.33
1882,-.10,-.18,-.01,-.23,-.09,.03,-1.36,-.25,-.01,-.10,-.09,.03,.08,.37
1883,-.20,-.31,-.09,-.35,-.21,-.02,-.32,-.62,-.18,-.23,-.20,-.01,.00,.33
1884,-.28,-.43,-.13,-.57,-.17,-.12,-1.31,-.62,-.40,-.20,-.14,-.15,-.05,.36
1885,-.31,-.42,-.21,-.61,-.17,-.20,-1.19,-.72,-.41,-.10,-.23,-.27,-.07,.34
1886,-.30,-.39,-.22,-.49,-.24,-.20,-1.24,-.47,-.36,-.23,-.25,-.18,-.21,.23
1887,-.33,-.38,-.29,-.47,-.27,-.27,-1.58,-.58,-.18,-.23,-.32,-.24,-.29,.16
1888,-.20,-.24,-.17,-.43,.07,-.34,-1.46,-.48,-.21,.06,.07,-.29,-.37,.12
1889,-.11,-.17,-.06,-.27,.05,-.17,-.90,-.19,-.19,-.01,.10,-.15,-.16,.15
1890,-.37,-.41,-.33,-.46,-.38,-.26,-1.36,-.47,-.27,-.32,-.43,-.16,-.39,.00
1891,-.24,-.25,-.24,-.37,-.15,-.24,-1.32,-.26,-.25,-.06,-.25,-.20,-.27,.04
1892,-.27,-.32,-.22,-.33,-.30,-.16,-1.36,-.38,-.10,-.32,-.29,-.03,-.33,.00
1893,-.30,-.41,-.19,-.40,-.40,-.07,-.91,-.41,-.28,-.43,-.37,.04,-.21,-.03
1894,-.31,-.38,-.23,-.29,-.39,-.22,-1.36,-.22,-.07,-.53,-.24,-.15,-.31,-.16
1895,-.22,-.29,-.14,-.36,-.14,-.19,-.99,-.42,-.16,-.19,-.08,-.20,-.13,-.06
1896,-.15,-.22,-.08,-.35,.02,-.18,-1.30,-.39,-.09,-.02,.07,-.15,-.21,-.01
1897,-.11,-.14,-.09,-.31,.16,-.28,-.81,-.35,-.16,.14,.18,-.20,-.36,.00
1898,-.29,-.28,-.29,-.28,-.29,-.29,-1.29,-.05,-.18,-.28,-.30,-.26,-.30,.03
1899,-.16,-.18,-.15,-.18,-.14,-.18,-1.06,.02,-.10,-.16,-.11,-.13,-.22,.09
1900,-.09,-.05,-.13,-.13,.13,-.35,-.63,-.06,-.05,.08,.17,-.31,-.38,.07
1901,-.15,-.09,-.20,-.12,-.05,-.29,-.58,-.02,-.07,-.03,-.08,-.30,-.26,-.03
1902,-.28,-.32,-.23,-.50,-.06,-.34,-1.61,-.42,-.26,-.03,-.10,-.27,-.42,.01
1903,-.36,-.36,-.36,-.42,-.32,-.34,-.52,-.32,-.46,-.26,-.38,-.37,-.25,-.59
1904,-.45,-.46,-.43,-.48,-.46,-.39,-.37,-.55,-.47,-.43,-.49,-.36,-.38,-1.25
1905,-.28,-.29,-.27,-.39,-.13,-.38,-.23,-.17,-.57,-.15,-.12,-.38,-.34,-.37
1906,-.23,-.21,-.24,-.22,-.21,-.25,-.38,.02,-.33,-.20,-.22,-.23,-.22,-.65
1907,-.40,-.47,-.33,-.58,-.34,-.30,-.80,-.71,-.45,-.31,-.37,-.25,-.30,-1.18
1908,-.44,-.47,-.41,-.48,-.47,-.34,-.51,-.52,-.46,-.45,-.50,-.31,-.38,.66
1909,-.47,-.48,-.47,-.49,-.51,-.41,-.84,-.51,-.39,-.47,-.55,-.38,-.41,-.49
1910,-.43,-.44,-.42,-.38,-.53,-.33,-.77,-.15,-.43,-.52,-.55,-.32,-.32,.27
1911,-.44,-.41,-.48,-.40,-.45,-.48,-.44,-.37,-.42,-.43,-.48,-.43,-.53,.14
1912,-.35,-.48,-.23,-.60,-.20,-.31,-.75,-.72,-.48,-.29,-.11,-.37,-.13,-1.54
1913,-.35,-.43,-.25,-.42,-.31,-.31,-.64,-.29,-.45,-.45,-.17,-.28,-.31,-.92
1914,-.16,-.19,-.13,-.24,-.07,-.20,-.64,-.08,-.24,-.11,-.03,-.17,-.23,-.33
1915,-.11,-.10,-.12,-.19,.01,-.19,-.65,-.08,-.13,.04,-.02,-.10,-.23,-1.99
1916,-.33,-.36,-.32,-.31,-.43,-.23,-.43,-.45,-.20,-.43,-.43,-.22,-.17,-1.21
1917,-.40,-.53,-.28,-.44,-.60,-.10,-.81,-.40,-.37,-.67,-.52,-.17,.05,.20
1918,-.26,-.33,-.18,-.36,-.26,-.15,-1.29,-.15,-.24,-.28,-.23,-.08,-.23,-.13
1919,-.23,-.34,-.11,-.44,-.13,-.15,-1.03,-.46,-.26,-.20,-.06,-.08,-.22,.27
1920,-.26,-.27,-.25,-.21,-.26,-.32,-.07,-.09,-.31,-.37,-.16,-.21,-.44,-.86
1921,-.21,-.09,-.32,.02,-.27,-.37,-.19,.23,-.05,-.27,-.26,-.26,-.49,-.69
1922,-.27,-.26,-.28,-.22,-.31,-.26,-.46,-.33,-.09,-.32,-.31,-.24,-.27,-.22
1923,-.24,-.18,-.29,-.11,-.29,-.29,.06,-.04,-.21,-.29,-.28,-.27,-.28,-.51
1924,-.28,-.16,-.39,-.11,-.24,-.49,.16,-.16,-.16,-.23,-.26,-.39,-.60,-.66
1925,-.20,-.09,-.30,-.02,-.21,-.37,-.27,.26,-.12,-.19,-.22,-.24,-.55,-.76
1926,-.09,.03,-.20,.03,.04,-.39,.32,.24,-.19,.04,.04,-.33,-.46,-.56
1927,-.20,-.11,-.29,-.13,-.13,-.38,-.22,-.14,-.10,-.08,-.17,-.32,-.41,-1.47
1928,-.21,-.08,-.33,-.06,-.13,-.47,.43,-.08,-.19,-.11,-.15,-.32,-.62,-2.22
1929,-.36,-.31,-.40,-.36,-.26,-.49,-.12,-.51,-.34,-.24,-.28,-.40,-.57,-1.14
1930,-.13,.02,-.28,.08,-.10,-.39,.37,.15,-.06,-.07,-.13,-.31,-.42,-2.54
1931,-.09,.05,-.22,.03,.04,-.39,.37,.08,-.11,.08,.00,-.41,-.31,-.43
1932,-.17,-.03,-.29,.04,-.16,-.38,.15,.30,-.15,-.14,-.17,-.24,-.56,-.98
1933,-.28,-.25,-.32,-.23,-.28,-.33,-.40,-.39,-.09,-.28,-.29,-.22,-.46,-1.11
1934,-.13,.00,-.27,.18,-.26,-.28,.60,.39,-.08,-.26,-.26,-.22,-.34,-.48
1935,-.19,-.09,-.29,-.03,-.21,-.33,.08,.06,-.12,-.18,-.23,-.28,-.34,-1.56
1936,-.15,-.03,-.26,-.03,-.13,-.28,.12,.17,-.21,-.04,-.23,-.27,-.28,.09
1937,-.02,.13,-.17,.19,-.05,-.19,1.02,.07,.02,.04,-.14,-.21,-.14,.57
1938,-.02,.14,-.20,.36,-.25,-.10,1.16,.44,.06,-.18,-.31,-.08,-.08,-.89
1939,-.03,.08,-.13,.23,-.16,-.10,.46,.33,.10,-.15,-.18,-.05,-.10,-1.72
1940,.08,.14,.04,.09,.20,-.08,.83,.03,-.10,.21,.18,.01,-.21,-.01
1941,.13,.16,.11,-.04,.39,-.07,-.26,-.11,.07,.46,.33,.03,-.18,-.43
1942,.10,.15,.05,.13,.14,.01,.31,.00,.15,.17,.12,.08,-.05,-.86
1943,.14,.21,.05,.37,.00,.08,1.14,.33,.16,-.02,.02,.14,.01,1.19
1944,.26,.28,.24,.39,.22,.18,.97,.50,.14,.12,.32,.33,-.01,-.17
1945,.12,.09,.16,.09,.22,.02,.41,-.02,.06,.10,.34,.14,-.04,-1.82
1946,-.03,.07,-.13,.08,-.01,-.18,-.19,.02,.20,.06,-.07,-.18,-.16,.11
1947,-.04,.05,-.13,.14,-.10,-.15,.96,-.15,.06,-.09,-.11,-.16,-.11,.08
1948,-.09,.00,-.18,.14,-.18,-.21,.05,.36,.03,-.21,-.14,-.19,-.16,-.90
1949,-.09,-.01,-.16,.12,-.17,-.18,.19,.17,.07,-.21,-.13,-.15,-.13,-1.27
1950,-.17,-.16,-.19,-.08,-.27,-.13,.03,-.34,.04,-.27,-.26,-.05,-.21,-.69
1951,-.06,.05,-.18,.07,-.05,-.22,.00,.03,.12,.02,-.13,-.20,-.21,-.17
1952,.01,.06,-.04,.09,.02,-.09,.10,-.07,.18,.01,.03,-.10,.00,-.39
1953,.08,.23,-.07,.33,.06,-.16,.82,.37,.15,.07,.05,-.10,-.13,-1.26
1954,-.12,-.04,-.21,.03,-.21,-.15,.58,-.20,-.01,-.14,-.28,-.16,-.04,-.75
1955,-.14,-.10,-.21,.02,-.32,-.08,-.45,-.07,.23,-.27,-.37,-.16,-.18,1.36
1956,-.20,-.25,-.15,-.24,-.32,.00,-.22,-.47,-.10,-.27,-.37,-.11,.00,.62
1957,.03,.04,.03,.02,.07,.00,.02,.21,-.11,.07,.08,-.08,-.09,.44
1958,.06,.16,-.03,.09,.20,-.16,-.16,.18,.13,.26,.15,-.09,-.07,-.63
1959,.03,.11,-.04,.15,.07,-.13,.50,.18,.02,.05,.08,-.04,-.15,-.36
1960,-.03,.08,-.13,.09,.01,-.20,.36,-.06,.10,.06,-.03,-.10,-.04,-.85
1961,.05,.08,.03,.18,-.03,.04,-.18,.37,.17,-.07,.01,.11,-.11,.13
1962,.02,.14,-.09,.27,-.04,-.13,.58,.34,.14,-.04,-.04,.06,-.09,-.89
